country,Global_Peace_Index_2023
Afghanistan,3.294
Albania,1.809
Algeria,2.11
Angola,2.043
Argentina,1.855
Armenia,2.052
Australia,1.536
Austria,1.313
Azerbaijan,2.248
Bahrain,2.072
Bangladesh,2.126
Belarus,2.291
Belgium,1.51
Benin,2.306
Bhutan,1.564
Bolivia,2.009
Bosnia and Herzegovina,1.961
Botswana,1.863
Brazil,2.589
Bulgaria,1.629
Burkina Faso,2.969
Burundi,2.567
Cambodia,2.028
Cameroon,2.773
Canada,1.449
Central African Republic,3.009
Chad,2.704
Chile,1.978
China,2.101
Colombia,2.887
Costa Rica,1.95
Croatia,1.504
Cuba,2.16
Cyprus,2.101
Czechia,1.459
"Congo, Dem. Rep.",3.264
Denmark,1.382
Djibouti,2.374
Dominican Republic,2.157
Timor-Leste,1.882
Ecuador,2.572
"Egypt, Arab Rep.",2.212
El Salvador,2.25
Equatorial Guinea,2.132
Eritrea,2.748
Estonia,1.615
Eswatini,2.209
Ethiopia,2.845
Finland,1.474
France,2.088
Gabon,2.372
Georgia,2.195
Germany,1.542
Ghana,1.938
Greece,1.793
Guatemala,2.332
Guinea,2.423
Guinea-Bissau,2.085
Guyana,2.286
Haiti,2.827
Honduras,2.415
Hungary,1.502
Iceland,1.112
India,2.319
Indonesia,1.857
"Iran, Islamic Rep.",2.682
Iraq,3.045
Ireland,1.303
Israel,3.115
Italy,1.692
Cote d'Ivoire,2.255
Jamaica,2.119
Japan,1.525
Jordan,1.998
Kazakhstan,1.954
Kenya,2.409
Kosovo,1.945
Kuwait,1.622
Kyrgyz Republic,2.053
Lao PDR,1.861
Latvia,1.661
Lebanon,2.693
Lesotho,2.461
Liberia,2.025
Libya,2.528
Lithuania,1.672
Madagascar,1.838
Malawi,2.063
Malaysia,1.427
Mali,3.095
Mauritania,2.136
Mauritius,1.577
Mexico,2.778
Moldova,1.976
Mongolia,1.845
Montenegro,1.746
Morocco,2.054
Mozambique,2.25
Myanmar,2.943
Namibia,1.972
Nepal,2.069
Netherlands,1.527
New Zealand,1.323
Nicaragua,2.295
Niger,2.792
Nigeria,2.907
"Korea, Dem. People's Rep.",3.055
North Macedonia,1.764
Norway,1.638
Oman,1.761
Pakistan,2.783
West Bank and Gaza,2.872
Panama,2.14
Papua New Guinea,2.315
Paraguay,2.044
Peru,2.179
Philippines,2.21
Poland,1.678
Portugal,1.372
Qatar,1.656
"Congo, Rep.",2.261
Romania,1.755
Russian Federation,3.249
Rwanda,2.12
Saudi Arabia,2.206
Senegal,2.084
Serbia,1.93
Sierra Leone,1.993
Singapore,1.339
Slovak Republic,1.634
Slovenia,1.395
Somalia,3.091
South Africa,2.507
"Korea, Rep.",1.848
South Sudan,3.324
Spain,1.597
Sri Lanka,2.195
Sudan,3.327
Sweden,1.782
Switzerland,1.35
Syrian Arab Republic,3.173
Taiwan,1.818
Tajikistan,2.035
Tanzania,1.987
Thailand,2.048
"Gambia, The",2.079
Togo,2.381
Trinidad and Tobago,2.092
Tunisia,2.044
Turkiye,2.78
Turkmenistan,2.079
Uganda,2.477
Ukraine,3.28
United Arab Emirates,1.897
United Kingdom,1.703
United States,2.622
Uruguay,1.893
Uzbekistan,1.957
"Venezuela, RB",2.821
Viet Nam,1.802
"Yemen, Rep.",3.397
Zambia,1.948
Zimbabwe,2.396
